iter	Passed	Remaining
0	127	126964
1	129	64642
2	130	43532
3	132	32980
4	133	26663
5	135	22446
6	139	19830
7	141	17553
8	142	15740
9	144	14297
10	145	13112
11	147	12133
12	148	11293
13	150	10597
14	153	10081
15	156	9628
16	158	9160
17	160	8745
18	162	8385
19	164	8059
20	166	7767
21	168	7481
22	169	7214
23	171	6970
24	172	6746
25	174	6544
26	176	6353
27	179	6225
28	180	6049
29	181	5874
30	182	5709
31	183	5556
32	184	5408
33	185	5270
34	186	5139
35	187	5016
36	188	4903
37	189	4793
38	190	4688
39	191	4592
40	193	4532
41	195	4448
42	196	4367
43	197	4289
44	198	4214
45	199	4143
46	201	4077
47	203	4043
48	204	3977
49	206	3918
50	208	3870
51	209	3818
52	210	3767
53	211	3711
54	212	3659
55	214	3612
56	215	3560
57	216	3509
58	217	3461
59	217	3414
60	218	3369
61	222	3364
62	223	3330
63	225	3291
64	226	3258
65	227	3219
66	228	3185
67	230	3154
68	231	3119
69	232	3083
70	232	3048
71	233	3015
72	236	2999
73	238	2979
74	239	2950
75	240	2924
76	241	2899
77	243	2873
78	244	2851
79	245	2825
80	246	2798
81	247	2773
82	248	2749
83	250	2730
84	251	2710
85	253	2690
86	254	2670
87	255	2648
88	256	2624
89	257	2601
90	258	2579
91	259	2561
92	260	2543
93	261	2523
94	262	2503
95	264	2490
96	265	2471
97	266	2450
98	267	2435
99	269	2425
100	270	2408
101	271	2390
102	272	2374
103	274	2363
104	275	2348
105	276	2331
106	277	2315
107	279	2308
108	280	2295
109	282	2284
110	283	2269
111	284	2255
112	285	2240
113	286	2225
114	287	2214
115	288	2199
116	289	2185
117	290	2173
118	291	2161
119	293	2150
120	294	2142
121	296	2135
122	297	2124
123	298	2111
124	299	2098
125	300	2086
126	301	2073
127	303	2067
128	304	2059
129	306	2047
130	307	2040
131	309	2036
132	311	2029
133	312	2019
134	313	2007
135	314	1996
136	315	1985
137	316	1974
138	317	1965
139	318	1954
140	319	1943
141	320	1933
142	320	1923
143	322	1915
144	323	1908
145	324	1900
146	326	1893
147	327	1884
148	328	1875
149	329	1865
150	329	1853
151	330	1843
152	331	1834
153	332	1827
154	333	1818
155	334	1809
156	335	1801
157	336	1795
158	339	1793
159	340	1786
160	341	1777
161	342	1769
162	343	1761
163	344	1754
164	345	1748
165	346	1741
166	347	1733
167	348	1725
168	349	1717
169	351	1714
170	353	1711
171	354	1704
172	355	1697
173	356	1690
174	356	1682
175	357	1675
176	358	1668
177	359	1661
178	360	1653
179	361	1646
180	362	1640
181	363	1633
182	364	1628
183	366	1624
184	367	1620
185	368	1614
186	370	1608
187	370	1602
188	371	1595
189	372	1588
190	374	1584
191	375	1578
192	376	1572
193	376	1565
194	377	1559
195	378	1554
196	380	1552
197	382	1549
198	383	1543
199	384	1537
200	385	1532
201	386	1527
202	387	1521
203	388	1515
204	389	1510
205	390	1504
206	391	1498
207	392	1493
208	393	1487
209	394	1485
210	396	1482
211	397	1478
212	398	1472
213	399	1467
214	400	1462
215	401	1457
216	402	1451
217	403	1446
218	404	1440
219	405	1436
220	405	1431
221	406	1425
222	407	1420
223	409	1418
224	410	1415
225	412	1411
226	412	1406
227	413	1401
228	414	1396
229	415	1391
230	417	1388
231	418	1385
232	419	1380
233	420	1375
234	421	1371
235	422	1367
236	424	1365
237	425	1362
238	426	1358
239	427	1355
240	429	1351
241	430	1347
242	431	1342
243	432	1339
244	433	1335
245	434	1331
246	435	1327
247	436	1322
248	437	1320
249	439	1318
250	441	1316
251	442	1312
252	443	1308
253	444	1304
254	445	1300
255	446	1297
256	447	1293
257	448	1289
258	449	1284
259	450	1281
260	452	1280
261	453	1277
262	454	1274
263	455	1270
264	456	1266
265	457	1262
266	458	1258
267	459	1254
268	460	1251
269	461	1247
270	462	1244
271	464	1242
272	465	1240
273	467	1239
274	469	1237
275	470	1234
276	471	1230
277	472	1227
278	473	1223
279	474	1219
280	475	1215
281	476	1212
282	476	1208
283	477	1204
284	478	1201
285	480	1198
286	481	1196
287	483	1195
288	484	1191
289	485	1188
290	486	1184
291	487	1181
292	488	1178
293	489	1174
294	489	1170
295	490	1167
296	491	1164
297	492	1161
298	494	1159
299	496	1158
300	497	1155
301	498	1152
302	499	1149
303	500	1146
304	501	1142
305	502	1139
306	503	1136
307	504	1132
308	505	1129
309	506	1126
310	506	1122
311	507	1119
312	509	1118
313	511	1117
314	512	1114
315	513	1112
316	514	1109
317	515	1106
318	517	1104
319	518	1101
320	519	1098
321	520	1095
322	520	1091
323	521	1088
324	522	1085
325	523	1082
